class,cap-shape,cap-color,bruises,odor,ring-number,ring-type,population,habitat
p,x,n,t,p,o,p,s,u
e,x,y,t,a,o,p,n,g
e,b,w,t,l,o,p,n,m
p,x,w,t,p,o,p,s,u
e,x,g,f,n,o,e,a,g
e,x,y,t,a,o,p,n,g
e,b,w,t,a,o,p,n,m
e,b,w,t,l,o,p,s,m
p,x,w,t,p,o,p,v,g
e,b,y,t,a,o,p,s,m
e,x,y,t,l,o,p,n,g
e,x,y,t,a,o,p,s,m
e,b,y,t,a,o,p,s,g
p,x,w,t,p,o,p,v,u
e,x,n,f,n,o,e,a,g
e,s,g,f,n,o,p,y,u
e,f,w,f,n,o,e,a,g
p,x,n,t,p,o,p,s,g
p,x,w,t,p,o,p,s,u
p,x,n,t,p,o,p,s,u
e,b,y,t,a,o,p,s,m
p,x,n,t,p,o,p,v,g
e,b,y,t,l,o,p,s,m
e,b,w,t,a,o,p,n,m
e,b,w,t,l,o,p,s,m
p,f,w,t,p,o,p,v,g
e,x,y,t,a,o,p,n,m
e,x,w,t,l,o,p,n,m
e,f,n,f,n,o,p,y,u
e,x,y,t,a,o,p,v,d
e,b,y,t,l,o,p,n,m
p,x,w,t,p,o,p,s,u
e,x,y,t,l,o,p,n,m
e,x,n,t,l,o,p,y,p
e,b,y,t,l,o,p,s,m
e,x,y,t,l,o,p,v,d
e,s,g,f,n,o,p,v,u
p,x,n,t,p,o,p,s,u
e,x,y,t,a,o,p,v,d
e,b,y,t,l,o,p,s,m
e,b,y,t,a,o,p,s,g
e,x,y,t,l,o,p,y,p
e,x,n,f,n,o,p,y,u
p,x,w,t,p,o,p,v,g
e,x,y,t,a,o,p,n,m
e,x,w,t,a,o,p,n,g
e,x,y,t,l,o,p,s,m
e,x,w,t,l,o,p,n,m
e,x,y,t,l,o,p,s,p
e,f,y,t,l,o,p,s,p
e,x,n,t,a,o,p,s,g
e,x,w,t,l,o,p,s,g
e,b,w,t,l,o,p,n,m
p,x,n,t,p,o,p,v,u
p,x,w,t,p,o,p,v,u
e,b,y,t,a,o,p,s,m
e,f,g,f,n,o,e,a,g
e,b,w,t,a,o,p,n,g
e,x,y,t,l,o,p,n,g
e,x,n,t,a,o,p,y,p
e,s,g,f,n,o,p,v,u
e,b,y,t,a,o,p,s,m
e,b,y,t,l,o,p,s,m
e,b,y,t,l,o,p,n,m
e,b,w,t,l,o,p,s,g
e,f,n,f,n,o,e,a,g
e,x,w,t,l,o,p,s,g
e,f,y,t,a,o,p,s,g
e,x,y,t,a,o,p,n,g
e,x,g,f,n,o,p,v,u
e,f,y,t,l,o,p,v,d
e,b,w,t,l,o,p,s,m
e,f,y,t,l,o,p,v,d
e,x,n,t,a,o,p,s,p
e,b,y,t,a,o,p,s,g
e,f,y,t,l,o,p,v,d
e,x,w,t,l,o,p,v,d
e,f,n,t,l,o,p,y,p
p,x,n,t,p,o,p,v,u
e,f,n,t,a,o,p,y,g
e,x,n,f,n,o,e,s,g
p,x,w,t,p,o,p,s,g
e,f,g,f,n,o,p,y,u
e,x,g,f,n,o,e,s,g
e,x,y,t,l,o,p,s,g
e,x,n,f,n,o,e,s,g
e,b,w,t,a,o,p,s,g
e,x,w,t,l,o,p,s,g
e,f,n,t,l,o,p,y,g
e,s,n,f,n,o,p,v,u
e,x,n,f,n,o,p,y,u
e,b,w,t,l,o,p,s,g
e,x,y,t,a,o,p,s,g
e,x,y,t,l,o,p,n,m
e,x,n,f,n,o,e,a,g
e,x,w,t,a,o,p,s,g
e,f,n,t,l,o,p,s,g
e,x,y,t,a,o,p,n,g
e,b,w,t,a,o,p,s,g
e,x,w,t,a,o,p,s,g
e,x,n,f,n,o,e,s,g
e,b,y,t,l,o,p,n,g
e,f,y,t,l,o,p,s,g
e,x,y,t,a,o,p,y,p
e,b,w,t,l,o,p,n,g
e,x,y,t,a,o,p,n,m
e,x,y,t,a,o,p,y,g
e,b,w,t,l,o,p,s,m
e,b,w,t,a,o,p,s,m
e,x,y,t,a,o,p,n,m
e,x,y,t,l,o,p,n,g
